date,day,campus,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-09-29,sunday,Kuzey,121,breakfast,,corba,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek, kasar peynir","recel, labne, tahin-pekmez"
2024-09-29,sunday,Guney,81,breakfast,,corba,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek, kasar peynir","recel, labne, tahin-pekmez"
2024-09-29,sunday,Kilyos,39,breakfast,,corba,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek, kasar peynir","recel, labne, tahin-pekmez"
2024-09-29,sunday,Kandilli,64,breakfast,,corba,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek, kasar peynir","recel, labne, tahin-pekmez"
2024-09-30,monday,Anadoluhisari,349,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-30,monday,Kuzey,433,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-30,monday,Guney,174,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-30,monday,Kilyos,26,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-30,monday,Kandilli,111,breakfast,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-10-01,tuesday,Anadoluhisari,386,breakfast,corba,patates,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-01,tuesday,Kuzey,423,breakfast,corba,patates,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
